Mineral,Spinel group - Magnetite,Hematite,Quartz,Chlorite group,Mica group,Birnessite,Dolomite group,Calcite group,Calcite group - Calcite,Plagioclase,K-Feldspar,Stilpnomelane,Total
NSRD0796-F-8,25,7,34,0,3,0,1,27,0,2,1,0,100
NSRD0796-F-9,19,6,28,0,3,0,2,39,0,2,2,0,100
NSRD0796-F-10,14,5,32,0,2,0,1,42,0,2,2,0,100
NSRD0796-F-11,15,1,28,4,0,0,1,45,0,0,2,4,100
NSRD0796-F-12,22,1,32,6,0,0,2,29,0,0,2,7,100
NSRD0796-F-13,24,1,32,8,0,0,3,24,0,0,0,8,100
NSRD0796-F-14,12,0,28,7,0,0,1,38,1,0,0,13,100
NSRD0796-F-15,10,1,26,4,0,0,2,35,0,0,0,22,100
NSRD0796-F-16,11,0,29,7,0,0,1,39,0,0,0,13,100
NSRD0797-F-5,36,1,33,2,0,0,6,12,0,0,2,8,100
NSRD0797-F-6,40,1,33,1,0,0,5,10,0,0,2,8,100
NSRD0797-F-7,39,1,32,2,0,0,4,10,0,0,1,10,100
NSRD0797-F-10,42,2,33,0,0,0,6,8,0,0,3,6,100
NSRD0797-F-11,36,1,36,3,0,0,8,7,0,0,2,6,100
NSRD0797-F-12,37,1,35,3,0,0,8,9,0,0,2,6,100
NSRD0797-F-15,29,1,32,3,0,0,5,17,0,0,0,12,100
NSRD0798-F-11,15,2,28,6,0,0,7,18,0,0,2,23,100
NSRD0798-F-12,14,1,28,5,0,0,7,17,1,0,0,27,100
NSRD0798-F-13,29,1,27,3,0,0,8,8,2,0,2,21,100
NSRD0798-F-14,29,1,33,1,0,0,8,8,0,0,2,18,100
NSRD0798-F-15,27,1,28,0,0,1,8,8,1,0,2,23,100
NSRD0798-F-16,25,1,27,0,0,0,7,10,1,0,1,29,100
NSRD0799-F-4,27,5,31,6,0,0,6,9,0,2,8,6,100
NSRD0799-F-7,28,2,31,6,0,0,6,11,0,2,8,6,100
NSRD0799-F-8,30,2,33,3,0,0,6,11,0,2,7,6,100
NSRD0799-F-9,32,2,32,3,0,0,5,10,0,2,7,6,100
NSRD0799-F-11,27,3,34,8,0,0,4,12,0,2,5,5,100
NSRD0799-F-15,25,1,33,8,0,0,5,12,0,0,6,9,100
NSRD0799-F-18,18,1,27,9,0,0,3,14,1,0,15,12,100
NSRD0799-F-19,30,0,33,6,0,0,6,10,0,0,7,6,100
NSRD0799-F-20,30,1,32,7,0,0,5,9,0,2,8,6,100
NSRD0800-F-7,11,1,30,13,0,0,4,14,0,0,15,13,100
NSRD0800-F-9,26,1,31,8,0,0,5,11,0,0,9,9,100
NSRD0800-F-10,27,3,31,4,0,0,7,9,0,2,9,8,100
NSRD0800-F-12,34,4,35,2,0,0,5,10,0,1,3,4,100
NSRD0800-F-13,32,2,32,2,0,0,5,10,0,2,7,6,100
NSRD0800-F-14,33,2,32,3,0,0,6,10,0,2,6,5,100
NSRD0800-F-16,30,1,35,6,0,0,6,13,0,0,3,6,100
NSRD0800-F-17,22,1,34,8,0,0,7,12,1,0,7,9,100
NSRD0800-F-18,27,1,35,6,0,0,7,13,0,0,4,8,100
NSRD0801-F-9,24,1,36,4,0,0,8,13,0,0,2,12,100
GVRD0267-F-10,23,1,36,6,2,0,0,31,0,0,0,1,100
GVRD0267-F-11,29,1,35,4,1,0,1,28,0,0,0,0,100
GVRD0267-F-12,35,2,40,3,0,0,4,17,0,0,0,0,100
GVRD0267-F-13,34,2,40,4,2,0,1,17,0,0,0,0,100
GVRD0267-F-14,32,1,38,7,0,0,1,21,0,0,0,0,100
GVRD0268-F-10,31,2,38,7,0,0,6,16,0,0,0,0,100
GVRD0268-F-11,37,3,38,4,0,0,4,14,0,0,0,0,100
GVRD0268-F-12,33,5,39,2,2,0,2,16,0,0,0,0,100
GVRD0268-F-13,38,2,39,4,0,0,4,13,0,0,0,0,100
GVRD0268-F-14,21,1,39,11,0,0,1,26,0,0,0,2,100
GVRD0268-F-15,36,1,38,8,0,0,0,17,0,0,0,0,100
GVRD0269-F-8,32,1,38,9,0,0,1,16,0,0,1,2,100
