mineral,pass,xrd,normative
apatite,1,,0
chromite,1,Spinel_group,1
magnetite,1,Spinel_group,1
zircon,1,,2
chalcopyrite,1,Pyrite,3
pyrite,1,Pyrite,4
albite,1,Plagioclase,30
rhodochrosite,1,,6
chlorite,1,Chlorite_group,6
chlorite2,1,Chlorite_group,6
calcite,1,Calcite_group,7
ferrostilpnomelane,1,Stilpnomelane,5
ferristilpnomelane,1,Stilpnomelane,5
stilpnomelane,1,Stilpnomelane,5
mg-ankerite,1,Dolomite_group,8
fe-ankerite,0,Dolomite_group,9
siderite,1,Calcite_group_Siderite,10
rutile,1,Rutile_group,11
orthoclase,1,K-Feldspar,12
quartz,1,Quartz,18
hematite,2,Hematite_group,19
goethite,2,Goethite,20
annite,2,Mica_group,21
muscovite,2,Mica_group,22
phlogopite,2,Mica_group,23
sepiolite,1,Sepiolite,24

